State,District,Type,School,Email
Example,Vancouver Public Schools,Elementary,Anderson,team***@gmail.com
Example,Vancouver Public Schools,Elementary,Chinook,Pres***@chinookptsa.com
Example,Vancouver Public Schools,Elementary,Edgewood (formerly Harney),harn***@live.com
Example,Vancouver Public Schools,Elementary,Eisenhower,eise***@gmail.com
Example,Vancouver Public Schools,Elementary,Felida,feli***@gmail.com
Example,Vancouver Public Schools,Elementary,Fruit Valley,stac***@vansd.org
Example,Vancouver Public Schools,Elementary,Ginsburg (RBG),comu***@gmail.com
Example,Vancouver Public Schools,Elementary,Hazel Dell,carl***@vansd.org
Example,Vancouver Public Schools,Elementary,Hough,houg***@gmail.com
Example,Vancouver Public Schools,Elementary,King,goki***@gmail.com
Example,Vancouver Public Schools,Elementary,Lake Shore,24-2***@lakeshorepta.org
Example,Vancouver Public Schools,Elementary,Lincoln,Info***@LPSGVancouver.com
Example,Vancouver Public Schools,Elementary,Marshall,ptam***@gmail.com
Example,Vancouver Public Schools,Elementary,Minnehaha,Minn***@gmail.com
Example,Vancouver Public Schools,Elementary,Ogden,pete***@gmail.com
Example,Vancouver Public Schools,Elementary,Roosevelt,roos***@gmail.com
Example,Vancouver Public Schools,Elementary,Sacajawea,admi***@sacpta.com
Example,Vancouver Public Schools,Elementary,Salmon Creek,Pres***@salmoncreekpta.org
Example,Vancouver Public Schools,Elementary,Truman,trum***@gmail.com
Example,Vancouver Public Schools,Elementary,Vancouver Home Connection at Heights Campus (K–8),Lies***@gmail.com
Example,Vancouver Public Schools,Elementary,Walnut Grove,wgpt***@gmail.com
Example,Vancouver Public Schools,Elementary,Washington,wash***@gmail.com
Example,Vancouver Public Schools,Middle,iTech Preparatory (6–12),itec***@gmail.com
Example,Vancouver Public Schools,Middle,Jefferson,ptsa***@gmail.com
Example,Vancouver Public Schools,Middle,Vancouver School of Arts and Academics (6–12),vsaa***@gmail.com
Washington,Aberdeen School District,High School,Aberdeen High School,pfry***@northbeachschools.org
Washington,Aberdeen School District,High School,Aberdeen High School,bobc***@gmail.com
Washington,Aberdeen School District,Elementary School,A.J. West Elementary,ptoa***@gmail.com
Washington,Aberdeen School District,Elementary School,Central Park Elementary,cent***@gmail.com
Washington,Anacortes School District,Elementary School,Island View Elementary,pres***@islandviewpta.org
Washington,Anacortes School District,Elementary School,Mount Erie Elementary,mter***@gmail.com
Washington,Arlington School District,Elementary School,Eagle Creek Elementary School,pres***@gmail.com
Washington,Arlington School District,Elementary School,Kent Prairie Elementary School,trea***@gmail.com
Washington,Arlington School District,Elementary School,Pioneer Elementary,pion***@gmail.com
Washington,Arlington School District,Elementary School,Pioneer Elementary,volu***@pioneerpta.com
Washington,Arlington School District,Elementary School,Pioneer Elementary,volu***@pioneerpta.com
Washington,Arlington School District,Elementary School,Presidents Elementary,pres***@gmail.com
Washington,Arlington School District,High School,Arlington High School,pres***@ahsboosterclub.com
Washington,Arlington School District,High School,Arlington High School,athl***@ahsboosterclub.com
Washington,Arlington School District,High School,Arlington High School,trea***@ahsboosterclub.com
Washington,Auburn School District,High School,Auburn Riverside,arhs***@gmail.com
Washington,Auburn School District,High School,Auburn Mountainview,amhs***@gmail.com
Washington,Auburn School District,Elementary School,Bowman Creek Elementary School,boar***@bowmancreekpta.com
Washington,Auburn School District,Elementary School,Hazelwood Elementary School,haze***@gmail.com
Washington,Auburn School District,Elementary School,Lake View Elementary School,thel***@gmail.com
Washington,Auburn School District,Elementary School,Lake View Elementary School,lake***@gmail.com
Washington,Auburn School District,Elementary School,Lakeland Hills Elementary School,lake***@gmail.com
Washington,Auburn School District,Middle School,Olympic Middle School,OMSP***@outlook.com
Washington,Auburn School District,Elementary School,Pioneer Elementary,volu***@pioneerpta.com
Washington,Auburn School District,Elementary School,Washington Elementary School,wash***@gmail.com
Washington,Auburn School District,Elementary School,Washington Elementary School,wash***@gmail.com
Washington,Auburn School District,Elementary School,Willow Crest Elem.,will***@gmail.com
Washington,Bainbridge Island School District,High School,Bainbridge High School,bhs.***@bainbridgeptos.org
Washington,Bainbridge Island School District,Middle School,Woodward Middle School,wood***@gmail.com
Washington,Bainbridge Island School District,Elementary School,Blakely Elementary,blak***@gmail.com
Washington,Bainbridge Island School District,Elementary School,Ordway Elementary,ordw***@bainbridgeptos.org
Washington,Battle Ground School District,Primary schools,Captain Strong Primary,csp.***@gmail.com
Washington,Battle Ground School District,Primary schools,Daybreak Primary,dayb***@gmail.com
Washington,Battle Ground School District,Primary schools,Glenwood Heights Primary,Glen***@gmail.com 
Washington,Battle Ground School District,Primary schools,Maple Grove Primary,mgpr***@gmail.com
Washington,Battle Ground School District,Primary schools,Tukes Valley Primary,info***@tukesvalleypto.org
Washington,Battle Ground School District,Middle School,Chief Umtuch Middle,wolv***@gmail.com
Washington,Battle Ground School District,Middle School,Laurin Middle,laur***@gmail.com
Washington,Battle Ground School District,Middle School,Pleasant Valley Middle,pvep***@pvbears.org
Washington,Battle Ground School District,Middle School,Tukes Valley Middle,info***@tukesvalleypto.org
Washington,Battle Ground School District,High School,Battle Ground High School,comm***@battlegroundps.org
Washington,Battle Ground School District,K-12 School,River HomeLink,rive***@gmail.com
Washington,Bellevue School District,Elementary School,Ardmore,Ardm***@gmail.com
Washington,Bellevue School District,Elementary School,Bennett,WMCh***@bennettptsa.org
Washington,Bellevue School District,Elementary School,Cherry Crest,face***@cherrycrest-ptsa.org
Washington,Bellevue School District,Elementary School,Clyde Hill,info***@clydehillpta.org
Washington,Bellevue School District,Elementary School,Enatai,comm***@enataiptsa.org
Washington,Bellevue School District,Elementary School,Lake Hills,lake***@gmail.com
Washington,Bellevue School District,Elementary School,Medina,pres***@medinapta.org
Washington,Bellevue School District,Elementary School,Newport Heights,jbar***@gmail.com
Washington,Bellevue School District,Elementary School,Phantom Lake,phan***@gmail.com
Washington,Bellevue School District,Elementary School,Puesta del Sol,pres***@puestadelsolpta.org
Washington,Bellevue School District,Elementary School,Spiritridge*,webm***@spiritridge.org
Washington,Bellevue School District,Elementary School,Woodridge,comm***@woodridgeptsa.org
Washington,Bellevue School District,Middle School,Chinook,pres***@chinookptsa.org
Washington,Bellevue School District,Middle School,Highland,hms-***@live.com
Washington,Bellevue School District,Middle School,Odle,boar***@odleptsa.org
Washington,Bellevue School District,Middle School,Tillicum,pres***@tillicumpta.org
Washington,Bellevue School District,Middle School,Tyee,tyee***@tyeeptsa.org
Washington,Bellevue School District,High School,Interlake,comm***@interlakeptsa.org
Washington,Bellevue School District,High School,Sammamish,pres***@sammamishptsa.org 
Washington,Bellevue School District,Virtual,Bellevue Digital Discovery,digi***@gmail.com
Washington,Bellingham School District,Elementary School,Alderwood Elementary School,pta.***@gmail.com
Washington,Bellingham School District,Elementary School,Birchwood Elementary School,pto.***@gmail.com
Washington,Bellingham School District,Elementary School,Carl Cozier Elementary School,jami***@bellinghamschools.org
Washington,Bellingham School District,Elementary School,Columbia Elementary School,colu***@gmail.com
Washington,Bellingham School District,Elementary School,Geneva Elementary School,gene***@gmail.com
Washington,Bellingham School District,Elementary School,Happy Valley Elementary School,info***@happyvalleypta.com
Washington,Bellingham School District,Elementary School,Lowell Elementary School,ever***@gmail.com
Washington,Bellingham School District,Elementary School,Northern Heights Elementary School,nort***@gmail.com
Washington,Bellingham School District,Elementary School,Parkview Elementary School,cont***@parkviewpto.org
Washington,Bellingham School District,Elementary School,Roosevelt Elementary School,pres***@roosevelt-pta.org
Washington,Bellingham School District,Elementary School,Silver Beach Elementary School,sbea***@gmail.com
